brand,original_country,index
Mitsubishi,Japan,3936
Ford,USA,3937
Honda,Japan,3938
Toyota,Japan,3939
MG,China,3940
Honda,Japan,3941
Honda,Japan,3942
Mazda,Japan,3943
Honda,Japan,3944
Honda,Japan,3945
Honda,Japan,3946
Suzuki,,3947
Ford,USA,3948
MG,China,3949
Mitsubishi,Japan,3950
Mazda,Japan,3951
Mazda,Japan,3952
Honda,Japan,3953
Ford,USA,3954
Toyota,Japan,3955
Mazda,Japan,3956
Mazda,Japan,3957
Toyota,Japan,3958
Honda,Japan,3959
Honda,Japan,3960
Toyota,Japan,3961
Honda,Japan,3962
Mazda,Japan,3963
Nissan,Japan,3964
Mitsubishi,Japan,3965
Honda,Japan,3966
Mazda,Japan,3967
Mazda,Japan,3968
Suzuki,,3969
Toyota,Japan,3970
Subaru,Japan,3971
Mazda,Japan,3972
Ford,USA,3973
Toyota,Japan,3974
Honda,Japan,3975
MG,China,3976
MG,China,3977
Toyota,Japan,3978
MG,China,3979
Mazda,Japan,3980
Mazda,Japan,3981
Honda,Japan,3982
Toyota,Japan,3983
Honda,Japan,3984
Honda,Japan,3985
MG,China,3986
Toyota,Japan,3987
Honda,Japan,3988
Honda,Japan,3989
Honda,Japan,3990
Isuzu,Japan,3991
Honda,Japan,3992
MG,China,3993
BMW,Germany,3994
Honda,Japan,3995
Ford,USA,3996
Isuzu,Japan,3997
