,index,brand_x,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit,brand_y,original_country
119,23,Mazda,CX-5_S_2.0,2017,708900,THB,93243,Automatic,11757,THB/MONTH,Toyota,Japan
120,24,Mazda,CX-5_S_2.0,2017,694900,THB,93243,Automatic,11525,THB/MONTH,Mazda,Japan
121,24,Mazda,CX-5_S_2.0,2017,694900,THB,93243,Automatic,11525,THB/MONTH,Mazda,Japan
122,24,Mazda,CX-5_S_2.0,2017,694900,THB,93243,Automatic,11525,THB/MONTH,Mazda,Japan
123,24,Mazda,CX-5_S_2.0,2017,708900,THB,93243,Automatic,11757,THB/MONTH,Mazda,Japan
124,24,Ford,RANGER_DOUBLE_CAB_4WD_WILDTRAK_3.2,2018,695900,THB,109145,Automatic,11542,THB/MONTH,Mazda,Japan
125,25,Ford,RANGER_DOUBLE_CAB_4WD_WILDTRAK_3.2,2018,681900,THB,109145,Automatic,11309,THB/MONTH,Ford,USA
126,25,Ford,RANGER_DOUBLE_CAB_4WD_WILDTRAK_3.2,2018,681900,THB,109145,Automatic,11309,THB/MONTH,Ford,USA
127,25,Ford,RANGER_DOUBLE_CAB_4WD_WILDTRAK_3.2,2018,681900,THB,109145,Automatic,11309,THB/MONTH,Ford,USA
128,25,Ford,RANGER_DOUBLE_CAB_4WD_WILDTRAK_3.2,2018,695900,THB,109145,Automatic,11542,THB/MONTH,Ford,USA
129,25,Toyota,CAMRY_G_2.0,2018,700900,THB,131986,Automatic,11624,THB/MONTH,Ford,USA
130,26,Toyota,CAMRY_G_2.0,2018,686900,THB,131986,Automatic,11392,THB/MONTH,Toyota,Japan
131,26,Toyota,CAMRY_G_2.0,2018,686900,THB,131986,Automatic,11392,THB/MONTH,Toyota,Japan
132,26,Toyota,CAMRY_G_2.0,2018,686900,THB,131986,Automatic,11392,THB/MONTH,Toyota,Japan
133,26,Toyota,CAMRY_G_2.0,2018,700900,THB,131986,Automatic,11624,THB/MONTH,Toyota,Japan
134,26,Honda,ACCORD_EL_2.0,2017,701900,THB,130315,Automatic,11641,THB/MONTH,Toyota,Japan
135,27,Honda,ACCORD_EL_2.0,2017,687900,THB,130315,Automatic,11409,THB/MONTH,Honda,Japan
136,27,Honda,ACCORD_EL_2.0,2017,687900,THB,130315,Automatic,11409,THB/MONTH,Honda,Japan
137,27,Honda,ACCORD_EL_2.0,2017,687900,THB,130315,Automatic,11409,THB/MONTH,Honda,Japan
138,27,Honda,ACCORD_EL_2.0,2017,701900,THB,130315,Automatic,11641,THB/MONTH,Honda,Japan
139,27,Ford,RANGER_DOUBLE_CAB_WILDTRACK_(NAVI)_3.2,2018,695900,THB,83513,Automatic,11542,THB/MONTH,Honda,Japan
140,28,Ford,RANGER_DOUBLE_CAB_WILDTRACK_(NAVI)_3.2,2018,681900,THB,83513,Automatic,11309,THB/MONTH,Ford,USA
141,28,Ford,RANGER_DOUBLE_CAB_WILDTRACK_(NAVI)_3.2,2018,681900,THB,83513,Automatic,11309,THB/MONTH,Ford,USA
142,28,Ford,RANGER_DOUBLE_CAB_WILDTRACK_(NAVI)_3.2,2018,681900,THB,83513,Automatic,11309,THB/MONTH,Ford,USA
143,28,Ford,RANGER_DOUBLE_CAB_WILDTRACK_(NAVI)_3.2,2018,695900,THB,83513,Automatic,11542,THB/MONTH,Ford,USA
144,28,Honda,ACCORD_EL_2.0,2016,688900,THB,163800,Automatic,11425,THB/MONTH,Ford,USA
145,29,Honda,ACCORD_EL_2.0,2016,674900,THB,163800,Automatic,11193,THB/MONTH,Honda,Japan
146,29,Honda,ACCORD_EL_2.0,2016,674900,THB,163800,Automatic,11193,THB/MONTH,Honda,Japan
147,29,Honda,ACCORD_EL_2.0,2016,674900,THB,163800,Automatic,11193,THB/MONTH,Honda,Japan
148,29,Honda,ACCORD_EL_2.0,2016,688900,THB,163800,Automatic,11425,THB/MONTH,Honda,Japan
149,29,Toyota,C-HR_HYBRID_HIGH_1.8,2018,684900,THB,120103,Automatic,11359,THB/MONTH,Honda,Japan
150,30,Toyota,C-HR_HYBRID_HIGH_1.8,2018,670900,THB,120103,Automatic,11127,THB/MONTH,Toyota,Japan
151,30,Toyota,C-HR_HYBRID_HIGH_1.8,2018,670900,THB,120103,Automatic,11127,THB/MONTH,Toyota,Japan
152,30,Toyota,C-HR_HYBRID_HIGH_1.8,2018,670900,THB,120103,Automatic,11127,THB/MONTH,Toyota,Japan
153,30,Toyota,C-HR_HYBRID_HIGH_1.8,2018,684900,THB,120103,Automatic,11359,THB/MONTH,Toyota,Japan
154,30,Honda,ACCORD_TURBO_EL_1.5,2019,1033900,THB,90587,Automatic,17147,THB/MONTH,Toyota,Japan
155,31,Honda,ACCORD_TURBO_EL_1.5,2019,1012900,THB,90587,Automatic,16799,THB/MONTH,Honda,Japan
156,31,Honda,ACCORD_TURBO_EL_1.5,2019,1012900,THB,90587,Automatic,16799,THB/MONTH,Honda,Japan
157,31,Honda,ACCORD_TURBO_EL_1.5,2019,1012900,THB,90587,Automatic,16799,THB/MONTH,Honda,Japan
158,31,Honda,ACCORD_TURBO_EL_1.5,2019,1033900,THB,90587,Automatic,17147,THB/MONTH,Honda,Japan
