,brand,model,year,price,currency,pay_per_month,kilometers_driven,transmission_type
140,MG,ZS_X_1.5,2019,450900,บาท,7478 บาท /เดือน,7073,Automatic
141,Ford,RANGER_DOUBLE_CAB_HI-RIDER_WILDTRAK_2.2,2016,536900,บาท,8904 บาท /เดือน,171439,เกียร์ธรรมดา
142,MG,MG3_D_1.5,2016,225900,บาท,3747 บาท /เดือน,138970,Automatic
143,MG,ZS_D+_1.5,2021,521900,บาท,8656 บาท /เดือน,26616,Automatic
144,Subaru,XV_I-P_2.0,2018,692900,บาท,11492 บาท /เดือน,89959,Automatic
145,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2019,606900,บาท,10065 บาท /เดือน,66185,Automatic
146,Toyota,C-HR_HYBRID_HIGH_1.8,2018,699900,บาท,11608 บาท /เดือน,128582,Automatic
147,MG,ZS_X_1.5,2019,459900,บาท,7627 บาท /เดือน,48281,Automatic
148,Honda,CIVIC_EL_1.8,2016,613900,บาท,10182 บาท /เดือน,163812,Automatic
149,Toyota,CAMRY_G_2.0,2019,921900,บาท,15290 บาท /เดือน,88440,Automatic
150,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_PRERUNNER_2.4,2019,549900,บาท,9120 บาท /เดือน,107181,Automatic
151,Toyota,HILUX_REVO_SMART_CAB_E_2.4,2017,429900,บาท,7130 บาท /เดือน,129667,เกียร์ธรรมดา
152,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_2.2,2019,373900,บาท,6201 บาท /เดือน,56230,เกียร์ธรรมดา
153,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2019,478900,บาท,7943 บาท /เดือน,68913,เกียร์ธรรมดา
154,Mitsubishi,ATTRAGE_GLS_LIMITED_EDITION_1.2,2018,357900,บาท,5936 บาท /เดือน,124305,Automatic
155,Mitsubishi,ATTRAGE_GLX_1.2,2018,291900,บาท,4841 บาท /เดือน,139823,Automatic
156,MG,HS_X_SUNROOF_1.5,2019,647900,บาท,10745 บาท /เดือน,56927,Automatic
157,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,432900,บาท,7180 บาท /เดือน,90375,Automatic
158,Isuzu,MU-X_DA_DVD_2WD_3.0,2017,787900,บาท,13067 บาท /เดือน,122683,Automatic
